Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44692,,
Mouse ID,29924-00,,
Disposition,,,
Disposition,Sacked for being extremely sickly looking,,
Treatment,,,
Sex,Male,,
Strain,N-TVA::Cas9f/f;Ink(mix),,
BD,44655,`,
Sac Date,44692,,
Age at Sac,37,,
Injection Date,44656,,
Virus 1,RCAS Cre-U6sgRNA-ex2-NF1 4/5/22 (RE),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,N-TVA::Cas9f/f;Inkf/+;Pten+/+;Cic+/+;Atrx+/+;Tyr+/+,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"Brain and lungs appear normal upon necropsy, small nodule on liver, hadn't been eating, some maloclusion",,
,,,
,,,
