Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42725,,
Mouse ID,12628,,
Disposition,"Normal disposition, sac'd due to tumor size; T1-between scapulas; T2-posterior to T1",,
Sex,Male,,
Strain,All alleles,,
BD,42667,,
Sac Date,42725,,
Age at Sac,58,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42669,,
Virus 1,RCAS HA-Akt2 Q79K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,42713,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Normal disposition, sac'd due to tumor size; T1-between scapulas; T2-posterior to T1",,
,Skull and brain were in tact.,,
,All other organs appeared normal.,,
,2 cryogenics & 1 cell line attempted per tumor,,
