Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43200
Mouse ID,NSG 00237
Disposition,"Sac'd due to learning to one side, hunched and ungroomed appearance"
Sex,Male
Strain,NSG
BD,43138
Sac Date,43200
Age at Sac,62
RCAS injection?,No
Injection route,Intracranial
Injection Date,43139
Virus 1,"5610 HA-Akt1-E17K, Lucif-ZsGreen"
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,43200
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Sac'd due to learning to one side, hunched and ungroomed appearance"
,Brain and skull in tact.
,Organs appeared normal
,No lung nodules noted
