Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42943,,
Mouse ID,15964,,
Disposition,found dead,,
Sex,male,,
Strain,Nestin-TVA; Braf het; Pten f/f; Ink f/f,,
BD,42911,,
Sac Date,42942,,
Age at Sac,31,,
RCAS injection?,Yes,,
Injection route,intercrainal,,
Injection Date,42913,,
Virus 1,Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42928,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; Braf het; Pten f/f; Ink f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,lumpy skull,,
,,,
