Mouse Necropsy information sheet,...2
Initials,G.I.P
Today's Date,43815
Mouse ID,00499-00
Disposition,"Experimental End Point, but seeminly healthy"
Sex,Female
Strain,NSG
BD,43585
Sac Date,43815
Age at Sac,7m 16d
RCAS injection?,IDH1R1324
Injection route,
Injection Date,
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,
Genotype,
Tissue collected,Brain and Plasma
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
