Mouse Necropsy information sheet,...2,...3,...4
Initials,SA,,
Today's Date,42930,,
Mouse ID,15788,,
Disposition,"hunched, lethargic, unable to stay upright",,
Sex,Female,,
Strain,N-TVA;Braf Ca/+; pten f/f; Ink4a f/f,,
BD,42901,,
Sac Date,42930,,
Age at Sac,29,,
RCAS injection?,Yes,,
Injection route,intracranial,,
Injection Date,42903,,
Virus 1,RCAS CRE,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42929,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,N-TVA;Braf Ca/+; pten f/f; Ink4a f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,,,
,,,
