Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44389,,
Mouse ID,27149-00,,
Disposition,large head tumor noticed on 7/2/21,,
Disposition,sacked for tumor size,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,All Alleles,,
BD,44342,,
Sac Date,44389,,
Age at Sac,47,,
Injection Date,44344,,
Virus 1,RCAS myr-HA-AKT1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44379,,
Dox Tx?,No,,
Drug treatment,No,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
Tissue collected,"Brain, Lungs, T1, Lung tumor",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, T1, Lung tumor",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,"Right lung was severely inflamed and swollen, looked to be about 3x the size of the left lung. Primary tumor on head was not incredibly large",,
