Mouse Necropsy information sheet,...2
Initials,GP/GP
Today's Date,43756
Mouse ID,NSG 00483
Disposition,"Experimental endpoint, lethargic, scruffy"
Sex,Male
Strain,NSG
BD,43555
Sac Date,43755
Age at Sac,200
RCAS injection?,No
Injection route,Intracranial injection
Injection Date,43557
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of domed head?,no
Date domed head reported,NA
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Brain, plasma"
Zinc fixed?,No
Formalin fixed?,Brain
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Experimental endpoint, lethargic, scruffy"
,Brain collected for IHC and H&E
