Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44749,,,,,,,,
Mouse ID,29557-01,,,,,,,,
Disposition,End date,,,,,,,,
Sex,Female,,,,,,,,
Strain,DCT-TVA::Brafca/ca;Tyr/Tyr  TVA-,,,,,,,,
BD,44614,,,,,,,,
Sac Date,44748,,,,,,,,
Age at Sac,134,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,,,,,,,,,
Injection Date,44614,,,,,,,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (2/22/22 GP),,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,DCT-TVA::Brafca/ca;Tyr/Tyr,,,,,,,,
Tissue collected,"Brain, lungs",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,1,,,,,,,,
H&E?,yes,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Organs appeared healthy, small lung nodules, liver and spleen stored in PBS to be used as tissue samples",,,,,,,,
