Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KC,,,,,,,,
Today's Date,44963,,,,,,,,
Mouse ID,33437-10,,,,,,,,
Disposition,"Head bulge, not moving",,,,,,,,
Sex,Female,,,,,,,,
Strain,All Alleles,,,,,,,,
BD,44943,,,,,,,,
Sac Date,44963,,,,,,,,
Age at Sac,20,,,,,,,,
RCAS injection?,,,,,,,,,
Injection route,,,,,,,,,
Injection Date,,,,,,,,,
Virus 1,Inj. RCAS Cre + NF1 KC 1/17/23,,,,,,,,
Virus 2,,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,Yes,,,,,,,,
Date Tumor reported,44958,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,GFP,,,,,,,,
Tissue collected,"Brain, Lung, Liver",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"Head bulge, frail skull, mushy brain, lungs completely covered in nodules",,,,,,,,
