Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,AG,,,,,,,,
Today's Date,44382,,,,,,,,
Mouse ID,27134-03,,,,,,,,
Disposition,"Head bulge,lethargic, hunchback",,,,,,,,
Sex,Female,,,,,,,,
Strain,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,
BD,44341,,,,,,,,
Sac Date,44382,,,,,,,,
Age at Sac,41 days,,,,,,,,
RCAS injection?,Yes,,,,,,,,
Injection route,Intracranial,,,,,,,,
Injection Date,44342,,,,,,,,
Virus 1,RCAS-CRE,,,,,,,,
Virus 2,RCAS-IDH1R132H-HA,,,,,,,,
Virus 3,RCAS-PDGFA,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,,,,,,,,
Tissue collected,Brain,,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,HCI-21-27134,,,,,,,,
,,,,,,,,,
Slide #'s,1,,,,,,,,
H&E?,yes,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,Red patch on brain may be extensive blood vessels or blood vesssel rupture,,,,,,,,
