Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42937,,
Mouse ID,15793,,
Disposition,"equilibrium issues, domed head",,
Sex,male,,
Strain,Nestin-TVA; Braf het; pten f/f;Ink4a f/f,,
BD,42901,,
Sac Date,42937,,
Age at Sac,36,,
RCAS injection?,Yes,,
Injection route,intercrainal,,
Injection Date,42903,,
Virus 1,Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42933,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; Braf het; pten f/f;Ink4a f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"tumor protruding through top of skull, enlarged brain, some fluid",,
,,,
