Mouse Necropsy information sheet,...2
Initials,DS
Today's Date,42877
Mouse ID,14668
Disposition,lethargic
Sex,M
Strain,N-TVA; pten f/f; Ink4a f/f
BD,42813
Sac Date,42877
Age at Sac,64
RCAS injection?,Yes
Injection route,intercranial
Injection Date,42814
Virus 1,LV:NFI
Virus 2,RCAS-Cre
Virus 3,
Virus 4,
Evidence of tumor?,yes
Date Tumor reported,42870
Dox Tx?,
Duration of Dox Tx,NA
Genotype,Nestin-TVA;pten f/f;Ink4a f/f (injected)
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
