Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,44098,,
Mouse ID,24315,,
Disposition,T1 -- R-shoulder,,
Disposition,,,
Disposition,Reason for sac: Tumor size,,
Disposition,Normal behavior,,
Treatment,,,
Sex,Male,`,
Strain,All Alleles; PGC1a f/f,,
BD,44034,,
Sac Date,44098,,
Age at Sac,64,,
Injection Date,44039,,
Virus 1,RCAS myrAkt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,All Alleles; PGC1a f/f,,
Tissue collected,"T1, B, L",,
Zinc fixed?,No,,
Formalin fixed?,"T1, B, L",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Skull intact,,
,All organs appeared normal,,
,"T1: Cryogenic (1 tube, 2 samples)",,
