Mouse Necropsy information sheet,...2,...3,...4
Initials,RH,,
Today's Date,44200,,
Mouse ID,24432-00,,
Disposition,,,
Disposition,,,
Disposition,Reason for sac: Experimental endpoint,,
Disposition,Normal behavior,,
Treatment,,,
Sex,Male,`,
Strain,OligoNation D,,
BD,44050,,
Sac Date,44200,,
Age at Sac,150,,
Injection Date,44051,,
Virus 1,RCAS Cre,,
Virus 2,RCAS IDH1R132H-HA,,
Virus 3,RCAN Ex15 sgRNA FUBP1,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; CIC f/f,,
Tissue collected,B,,
Zinc fixed?,No,,
Formalin fixed?,B,,
Parafin Block #'s,HCI-20-24432,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,,,
