Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42902
Mouse ID,15237
Disposition,"Domed head, sluggish"
Sex,Male
Strain,N-TVA; Atrx f/f; Pten f/f
BD,42857
Sac Date,42902
Age at Sac,45
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42858
Virus 1,V5P53R273C
Virus 2,IDHR132H
Virus 3,PDGFA
Virus 4,Cre
Evidence of tumor?,"Yes, domed head"
Date Tumor reported,42879
Dox Tx?,No
Duration of Dox Tx,
Genotype,N-TVA; Atrx f/f; Pten f/f
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Severe hydrocephaly, underdeveloped cortex"
