Mouse Necropsy information sheet,...2
Initials,GP
Today's Date,42923
Mouse ID,NSG00124
Disposition,"Slightly ungroomed; sac'd due to ulcerated tumor; T1- R side, small"
Sex,Male
Strain,NSG
BD,42893
Sac Date,42923
Age at Sac,30
RCAS injection?,Yes
Injection route,Subcutaneous
Injection Date,42896
Virus 1,7788 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42921
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, brain, lungs"
Zinc fixed?,Brain and lungs
Formalin fixed?,Tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Slightly ungroomed; sac'd due to ulcerated tumor; T1- R side, small"
,Skull and brain were intact
,Other organs appeared normal
,1 cell line attempted
,Too small to attempt a cryogenic
