Mouse Necropsy information sheet,...2,...3
Initials,GP/ZL,
Today's Date,44060,
Mouse ID,22667-10,
Disposition,No evidence of primary tumor.,
Disposition,Animal found dead (~experimental endpoint),
Treatment,,
Sex,Male,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,
BD,43865,`
Sac Date,44057,
Age at Sac,192,
Injection Date,43868,
Virus 1,RCAS myr-FLAG-AKT2 + RCAS Cre (2/7/20 GP),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,No,
Date Tumor reported,,
Dox Tx?,,
Duration of Dox Tx,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,
Tissue collected,"B,L",
Zinc fixed?,No,
Formalin fixed?,"B,L",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,Yes,
Additional comments,Skull intact.,
,Animal found dead but was able to be necropsied,
,Small lung nodules visualized ex vivo.,
,All other organs appeared normal.,
,No evidence of primary tumor.,
