Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,43203
Mouse ID,NSG 00214
Disposition,Sac'd due to difficulty breathing.
Sex,Male
Strain,NSG
BD,43129
Sac Date,43203
Age at Sac,74
RCAS injection?,No
Injection route,Tail vein
Injection Date,43168
Virus 1,9678 (Tail vein)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,No
Formalin fixed?,"Brain, lungs, tumor"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Sac'd due to difficulty breathing.
,Brain and skull in tact.
,Brain appeared slightly enlarged but normal.
,Lung nodules present in chest cavity
,Parietal nodules inside of ribcage.
,"Had accidentally placed the lungs of NSG 214 in with 18-18037. Discovered this when grossing. Everything turned out fine, as I allocated the lungs back to an NSG 214 L cassette."
