Mouse Necropsy information sheet,...2,...3,...4
Initials,ND,,
Today's Date,43055,,
Mouse ID,16859,,
Disposition,Normal disposition; sac'd due to tumor size. Tumor located middle of upper back between scapulae.,,
Sex,Female,,
Strain,All Alleles,,
BD,43002,,
Sac Date,43054,,
Age at Sac,52,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,43004,,
Virus 1,RCAN myr-HA-Akt1,,
Virus 2,RCAS Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,43042,,
Dox Tx?,Yes,,
Duration of Dox Tx,12,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumors, brain, lungs",,
Zinc fixed?,"Brain, lungs",,
Formalin fixed?,Tumors,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,None noted,,
Additional comments,Normal disposition; sac'd due to tumor size. Tumor located middle of upper back between scapulae.,,
,Brain and skull were in tact.,,
,Other organs appeared normal,,
,3 cryos taken and 1 cell line attempted,,
