Mouse Necropsy information sheet,...2,...3,...4
Initials,JP,,
Today's Date,44655,,
Mouse ID,28950-00,,
Disposition,,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
BD,44554,,
Sac Date,44655,,
Age at Sac,101,,
Injection Date,44602,,
Virus 1,,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Y,,
Date Tumor reported,44649,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
Tissue collected,"Brain, lungs, liver, spleen",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lungs, liver, spleen",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"big mouse overall, giant liver, giant spleen, big/ulcerated tumor on sinistral part of thorax, shed significant quanitity of blood, abnormal lymph nodes",,
