Mouse Necropsy information sheet,...2,...3,...4
Initials,MS for YN,,
Today's Date,42783,,
Mouse ID,13685,,
Disposition,One large tumor wrapping from left ear around to right neck area,,
Sex,Female,,
Strain,All Alleles,,
BD,42741,,
Sac Date,42783,,
Age at Sac,42,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42742,,
Virus 1,RCAS Cre,,
Virus 2,RCAS myrFLAG AKT1,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42775,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; BRAFCA; Pten fl/fl; Ink fl/fl,,
Tissue collected,"brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,One cryovial frozen,,
,Heart/lungs looked normal.  Brain had blood on it.,,
