Mouse Necropsy information sheet,...2
Initials,SA
Today's Date,42844
Mouse ID,14302
Disposition,normal
Sex,Male
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42789
Sac Date,42843
Age at Sac,54
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42789
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,Yes
Duration of Dox Tx,29 days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
