Mouse Necropsy information sheet,...2,...3
Initials,JP,
Today's Date,44677,
Mouse ID,28234-10,
Disposition,,
Disposition,,
Disposition,,
Disposition,,
Treatment,,
Sex,F,`
Strain,DCT-TVA::Ptenf/f;Brafca/ca,
BD,44485,
Sac Date,44670,
Age at Sac,185,
Injection Date,44487,
Virus 1,RCAS Cre GP,
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,N,
Date Tumor reported,,
Dox Tx?,,
Drug treatment,,
Genotype,DCT-TVA::Ptenf/f;Brafca/ca,
Tissue collected,"Brain, lungs, liver",
Zinc fixed?,No,
Formalin fixed?,"Brain, lungs, liver",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,,
Additional comments,"healthy brain, inflated chest cavity (presence of coagulated blood), hump on the back (no tumor, though; might be related with the inflated chest cavity), healthy liver",
