Mouse Necropsy information sheet,...2
Initials,GP/DK
Today's Date,43733
Mouse ID,NSG00479
Disposition,Experimental Endpoint
Sex,Female
Strain,NSG
BD,43555
Sac Date,43731
Age at Sac,176
RCAS injection?,No
Injection route,Intracranial injection
Injection Date,
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,43675
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Brain, Plasma"
Zinc fixed?,No
Formalin fixed?,Brain
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Experimental Endpoint
,"Brain collected for IHC and H&E, tissue taken to culture"
,engrafted with 21238 patient-derived tumor stem cells 4/2
,Suspected tumor area used to develop neurospheres in culture.
