Mouse Necropsy information sheet,...2
Initials,DK
Today's Date,43717
Mouse ID,20902
Disposition,"Domed head, sac'd due to lethargy"
Sex,Male
Strain,NTVA; p10 f/f; Ink f/f
BD,43682
Sac Date,43717
Age at Sac,
RCAS injection?,Yes
Injection route,Intracranial
Injection Date,43684
Virus 1,HBEGF
Virus 2,CRE
Virus 3,
Virus 4,
Evidence of tumor?,Possibly -- domed head
Date Tumor reported,
Dox Tx?,NO
Duration of Dox Tx,N/A
Genotype,
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Domed head due to fluid buld up above apex of brain
