Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,42878
Mouse ID,NSG00070
Disposition,Hunched and ungroomed; sac'd due to poor health
Sex,Male
Strain,NSG
BD,42849
Sac Date,42877
Age at Sac,28
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42851
Virus 1,9678 (Cell Line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,No
Date Tumor reported,42870
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,Brain
Zinc fixed?,Yes
Formalin fixed?,No
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Hunched and ungroomed; sac'd due to poor health
,Skull was very soft with a hole in it
,Brain was intact but soft with a non normal structure
