Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42535,,
Mouse ID,10046,,
Disposition,T1--dome of head; T2--right ear; very lethargic and shaky,,
Sex,Male,,
Strain,All Alleles,,
BD,42466,,
Sac Date,42535,,
Age at Sac,69,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42457,,
Virus 1,RCAN HA-Akt1 E17K,,
Virus 2,Tet-Off-IRES-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,42521,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,T1--dome of head; T2--right ear very lethargic and shaky,,
,Spleen very enlarged; small nodule found on lungs.,,
,All other organs appeared normal.,,
,Skull intact.,,
,"3 cryogenics, 3 cell lines attempted per tumor.",,
