Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42912
Mouse ID,14910
Disposition,"Scruffy, lethargic"
Sex,Male
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42833
Sac Date,42911
Age at Sac,78
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42836
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,"Yes, MRI showing tumor 5/17/2017"
Date Tumor reported,
Dox Tx?,Yes
Duration of Dox Tx,4 days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Large tumor detected on MRI 5/17/2017 and 6/2/2017
,Brain tissue fixed for IHC
,Animal treated with Dox 6/21-6/25 to assess effect of Dox on late stage tumors
