Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44566,,
Mouse ID,27108-03,,
Disposition,End date,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA::Brafca/ca;Tyr/Tyr,,
BD,44338,,
Sac Date,44566,,
Age at Sac,228,,
Injection Date,44338,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (CS/TT 5/22/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Brafca/ca;Tyr/Tyr,,
Tissue collected,"brain, lung, liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung, liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Sacked b/c end date, no tumor noted, brain appeared normal",,
