Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44482,,
Mouse ID,27111-00,,
Disposition,Fight wounds,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA::Brafca/ca;Tyr/Tyr,,
BD,44338,,
Sac Date,44482,,
Age at Sac,144,,
Injection Date,44338,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (CS/TT 5/22/21),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,"Tumor reported, not found during necropsy",,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Brafca/ca;Tyr/Tyr,,
Tissue collected,"brain, lung",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, lung",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sacked for fight wounds,,
,"Barely moving, labored breathing",,
,Brain appeared normal,,
,"fatty(?) deposit on lung, very large approximately size of heart",,
,No primary tumor found,,
