Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42815,,
Mouse ID,13626,,
Disposition,lethargic,,
Sex,female,,
Strain,Nestin-TVA; Ink4a f/f; Pten f/f,,
BD,42740,,
Sac Date,42815,,
Age at Sac,75,,
RCAS injection?,Yes,,
Injection route,intercrainal,,
Injection Date,42742,,
Virus 1,LV:NF1,,
Virus 2,RCAS-Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,42759,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; Ink4a f/f; Pten f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,hydrocephaly,,
,,,
