Mouse Necropsy information sheet,...2,...3
Initials,JP,
Today's Date,44679,
Mouse ID,29580-10,
Disposition,,
Disposition,,
Disposition,,
Disposition,,
Treatment,,
Sex,M,`
Strain,N-TVA::Ptenf/f;Inkf/f,
BD,44614,
Sac Date,44678,
Age at Sac,64,
Injection Date,44616,
Virus 1,RCAS Cre + RCAS pro HBEGF,
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,N,
Date Tumor reported,,
Dox Tx?,,
Drug treatment,,
Genotype,N-TVA::Ptenf/f;Inkf/f,
Tissue collected,"Brain, lungs, liver",
Zinc fixed?,No,
Formalin fixed?,"Brain, lungs, liver",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,,
Additional comments,"hunched back, difficulty walking, healthy skull/brain, presence of blood in both thoracic and abdominal cavity, unhealthy liver (high surface area, fragile) and lungs (fragile, shriveled), formation of blood clots around lungs",
