Mouse Necropsy information sheet,...2
Initials,DK
Today's Date,42304
Mouse ID,8244
Disposition,"Domed head, hydrocephalic, not moving, extremely lethargic"
Sex,Male
Strain,Nestin-TVA; ATRX flox/flox;Ink F/F
BD,42229
Sac Date,42304
Age at Sac,75
RCAS injection?,Yes
Injection route,IC
Injection Date,42229
Virus 1,Cre
Virus 2,MIDHR132H
Virus 3,PDGFRA
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42275
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,
Tissue collected,Brain
,Nestin-TVA; ATRX flox/flox;Ink F/F
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,"Domed head, hydrocephalic, not moving, extremely lethargic"
,Apex of cortex filled with clear fluid (mushy cortex in general)
