Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42802,,
Mouse ID,13899,,
Disposition,"Sac'd due to tumor size; T1--located under jaw, right side",,
Sex,Male,,
Strain,All Alleles,,
BD,42761,,
Sac Date,42801,,
Age at Sac,40,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42762,,
Virus 1,RCAS HA-Akt3 E17K,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Sac'd due to tumor size; T1--located under jaw, right side",,
,Skull and brain in tact.,,
,All other organs appeared normal.,,
,"3 cryogenics attempted, 1 cell line attempted",,
