Mouse Necropsy information sheet,...2,...3,...4
Initials,RB,,
Today's Date,43164,,
Mouse ID,17866,,
Disposition,Ungroomed and hunched,,
Sex,Female,,
Strain,Nestin-TVA; Braf het; pten f/f;Ink4a f/f,,
BD,43134,,
Sac Date,43164,,
Age at Sac,30,,
RCAS injection?,Yes,,
Injection route,Intracranial,,
Injection Date,43136,,
Virus 1,RCAS-Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,43146,,
Dox Tx?,LGX,,
Duration of Dox Tx,,,
Genotype,Nestin-TVA; Braf het; pten f/f;Ink4a f/f,,
Tissue collected,Brain,,
Zinc fixed?,No,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
,,,
Additional comments,Hydrocephaly. Dosed with LGX 3 hours prior to sac,,
