Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42828,,
Mouse ID,13868,,
Disposition,Very large tumor by right arm-- appeared to be healthy apart from limited mobility due to tumor.,,
Sex,Female,,
Strain,Braf wt,,
BD,42759,,
Sac Date,42828,,
Age at Sac,69,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42761,,
Virus 1,RCAS HA-Nras Q61R ires Cre,,
Virus 2,RCAS myrFLAG AKT1,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42809,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Tumor had some liquid in it-- leaked upon removal and was more spongy in consistency. Skull intact,,
,H&L appeared healthy.,,
,Cell line attempted,,
,1 cryovial frozen,,
