Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,44243,,
Mouse ID,25917-00 wh,,
Disposition,Sac'd due to sickness,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,,
BD,44209,,
Sac Date,44243,,
Age at Sac,34,,
Injection Date,44201,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes? Small tumor/cyst on rear left leg,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,,
Tissue collected,"Brain, Lungs, T1",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, T1",,
Parafin Block #'s,"HCI-21-25917 B, HCI-21-25917 L, HCI-21-25917 T1",,
,,,
Slide #'s,,,
H&E?,yes,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sac'd due to general malaise; not able to walk well (tumor? Or cyst impeding leg movement).,,
,Brain intact.,,
,Lungs had small nodule noticed.,,
,No tumor taken for flow cytometry (not very large).,,
