Mouse Necropsy information sheet,...2
Initials,RB
Today's Date,43266
Mouse ID,NSG 00268
Disposition,Experimental Endpoint
Sex,Female
Strain,NSG
BD,43161
Sac Date,43266
Age at Sac,105
RCAS injection?,No
Injection route,Subcutaneous injection
Injection Date,43164
Virus 1,
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,NO
Date Tumor reported,NA
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"B,H,L,W,K,S"
Zinc fixed?,No
Formalin fixed?,All major organs
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Experimental Endpoint
,Brain and skull intact
,Organs appeared normal
,No lung nodules noted
,2054 RSU-/- 1x10^6 injected on R flank.
