Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42769,,
Mouse ID,11531,,
Disposition,"Really aggressive, large tumor on middle of back.",,
Sex,Male,,
Strain,Ink WT,,
BD,42576,,
Sac Date,42769,,
Age at Sac,193,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42563,,
Virus 1,RCAS hLSD1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42744,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf; Ink wt,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,H&L appeared fine (possible nodule on one lung),,
,"Possible blood in brain, skull intact.",,
,"Two cryovials of tumor frozen, cell line attempted",,
