Mouse Necropsy information sheet,...2
Initials,SH
Today's Date,42606
Mouse ID,10249-00
Disposition,Study end point
Sex,M
Strain,N-TVA; pten f/f
BD,42486
Sac Date,42606
Age at Sac,16 weeks
RCAS injection?,Yes
Injection route,intercranial
Injection Date,42488
Virus 1,TRE3-BRAF and TetOff and Cre
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,
Date Tumor reported,no tumor reported
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,Brain
,
Formalin fixed?,
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,
