Mouse Necropsy information sheet,...2
Initials,BP
Today's Date,42509
Mouse ID,10016
Disposition,Tumor
Sex,Female
Strain,Nestin-TVA; ATRX flox/flox;Ink flox/flox;Ptenf/f
BD,42462
Sac Date,42485
Age at Sac,23
RCAS injection?,Yes
Injection route,IC
Injection Date,42464
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDH1R132H
Virus 4,
Evidence of tumor?,No
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox;Ink flox/flox;Ptenf/f
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
