Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42544,,
Mouse ID,10148,,
Disposition,T1--located between right and left scapula; T2--posterior to right scapula; T3--posterior to left scapula; normal disposition,,
Sex,Female,,
Strain,All Alleles,,
BD,42476,,
Sac Date,42544,,
Age at Sac,68,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42478,,
Virus 1,RCAS HA-Akt1 E40K,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (3),,
Date Tumor reported,42531,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,T1--located between right and left scapula; T2--posterior to right scapula; T3--posterior to left scapula; normal disposition,,
,Skull intact,,
,All organs appeared normal,,
,2 cryogenics attempted per tumors 1 and 2; 1 cell line attempted per tumors 1 and 2.,,
