Mouse Necropsy information sheet,...2,...3,...4
Initials,SS,,
Today's Date,42835,,
Mouse ID,14142,,
Disposition,"Lethargic in cage, small tumor was on side of neck wrapping around under throat.",,
Sex,Male,,
Strain,All alleles,,
BD,42775,,
Sac Date,42829,,
Age at Sac,54,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42778,,
Virus 1,RCAS HA mYb1 wt,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,42832,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf CA; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, lungs, heart, liver, kidneys, spleen, tumor",,
,,,
Formalin fixed?,Yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Tumor was on throat.,,
,"Skull was intact, but possible blood in brain",,
,Nodules on lungs.,,
,Cell line attempted.,,
,2 cryovials frozen.,,
