Mouse Necropsy information sheet,...2,...3,...4
Initials,AW,,
Today's Date,42744,,
Mouse ID,12782,,
Disposition,poor health,,
Sex,male,,
Strain,Nestin-TVA; Ink4a f/f; Pten f/f,,
BD,42681,,
Sac Date,42744,,
Age at Sac,63,,
RCAS injection?,Yes,,
Injection route,intercranial,,
Injection Date,42664,,
Virus 1,IDHR132H,,
Virus 2,Cre,,
Virus 3,PDGFA,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,Nestin-TVA; Ink4a f/f; Pten f/f,,
Tissue collected,brain,,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,vascularization under skull,,
,,,
