Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42605
Mouse ID,10524-30
Disposition,Poor health
Sex,M
Strain,N-TVA;Ink4a/Arf-f/f
BD,42514
Sac Date,42605
Age at Sac,91
RCAS injection?,Yes
Injection route,IC
Injection Date,42508
Virus 1,RCAN-TRE3-BRAF-HA
Virus 2,RCAS-TETOFF
Virus 3,RCAS-Cre
Virus 4,
Evidence of tumor?,"Yes, severe hydrocephilus"
Date Tumor reported,42543
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Severe drydocephilus, severe cortical atrophy"
