Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42900
Mouse ID,14652
Disposition,"Scruffy, lethargic"
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42812
Sac Date,42899
Age at Sac,87
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42814
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,"Yes, MRI showing tumor 4/14/2017"
Date Tumor reported,
Dox Tx?,"Yes, Dox started 4/14"
Duration of Dox Tx,60 days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"initial tumor detected on MRI 4/14, residual tumor on MRI 4/25, 5/16"
,Brain tissue collected for cell line and fixed for IHC
