Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44379,,
Mouse ID,26050,,
Disposition,Fight wounds on hind limbs,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,DCT-TVA:BrafCa/Ca;Tyr/+,,
BD,44220,,
Sac Date,44379,,
Age at Sac,159,,
Injection Date,44123,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,NA,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA:BrafCa/Ca;Tyr/+,,
Tissue collected,"Brain, Lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,,,
Additional comments,"No evidence of tumor, had fight wounds on both rear legs",,
