Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44623,,
Mouse ID,28892-01,,
Disposition,TVA-,,
Disposition,Enddate,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Male,`,
Strain,All Alleles,,
BD,44549,,
Sac Date,44623,,
Age at Sac,74,,
Injection Date,44914,,
Virus 1,RCAS myr-HA-AKT1 + RCAS Cre (12/19/21 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,None,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,,
Tissue collected,"Brain, Lungs, Liver",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, Liver",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,"Mouse looked healthy, mobile.",,
,"Lungs, heart, liver, brain, all looked healthy.",,
