Mouse Necropsy information sheet,...2,...3,...4
Initials,KT,,
Today's Date,42634,,
Mouse ID,10995,,
Disposition,"Lethargic disposition, hunched posture; T1- head; T2- R side",,
Sex,Female,,
Strain,All Alleles,,
BD,42546,,
Sac Date,42634,,
Age at Sac,88,,
RCAN injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42548,,
Virus 1,RCAS HA-Akt2 E17K,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (2),,
Date Tumor reported,42604,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca/ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
,,,
Formalin fixed?,yes,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,"Lethargic disposition, hunched posture; T1- head; T2- R side",,
,Skull intact,,
,Lungs were dark red and tehre was a large mass on the ribs near the HL complex,,
,Other organs appeared normal,,
,2 cryogenics &  1 cell line attempted per tumor,,
