Mouse Necropsy information sheet,...2
Initials,AW
Today's Date,42702
Mouse ID,10797
Disposition,normal
Sex,male
Strain,Nestin-TVA; ATRX flox/flox;Ink flox/flox;Pten
BD,42531
Sac Date,42685
Age at Sac,154
RCAS injection?,Yes
Injection route,IC
Injection Date,42535
Virus 1,Cre
Virus 2,PDGFA
Virus 3,IDH1WT
Virus 4,
Evidence of tumor?,no
Date Tumor reported,
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,Nestin-TVA; ATRX flox/flox;Ink flox/flox;Pten
Tissue collected,Brain
,
Formalin fixed?,yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments :,
