Mouse Necropsy information sheet,...2,...3
Initials,JP,
Today's Date,44677,
Mouse ID,29494-00,
Disposition,,
Disposition,,
Disposition,,
Disposition,,
Treatment,,
Sex,F,`
Strain,N-TVA::Ptenf/f;Inkf/f,
BD,44607,
Sac Date,44676,
Age at Sac,69,
Injection Date,44608,
Virus 1,RCAS Cre + RCAS proHBEGF (02/16/22 KC & JP),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,N - Tilted head,
Date Tumor reported,,
Dox Tx?,,
Drug treatment,,
Genotype,N-TVA::Ptenf/f;Inkf/f,
Tissue collected,"Brain, lungs, liver (lu and li b/c of blood clots in the area)",
Zinc fixed?,No,
Formalin fixed?,"Brain, lungs, liver",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,,
Additional comments,"healthy skull, healthy brain, tilted head, healthy liver, blood clots below diaphragm, unhealthy heart (very dark, excessive clots in its vicinity), healthy lungs",
