Mouse Necropsy information sheet,...2
Initials,KT
Today's Date,43017
Mouse ID,NSG00099
Disposition,Normal disposition; sac'd due to ulcerated tumor; T1- R flank
Sex,Female
Strain,NSG
BD,42880
Sac Date,43014
Age at Sac,134
RCAS injection?,Yes
Injection route,subcutaneous
Injection Date,42882
Virus 1,5610 (cell line)
Virus 2,
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42979
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,NSG
Tissue collected,"Tumor, Brain, Lungs"
Zinc fixed?,Brain & Lungs
Formalin fixed?,Tumor
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,Normal disposition; sac'd due to ulcerated tumor; T1- R flank
,Skull and brain were intact
,other organs appeared normal
,3 cryogenics and 1 cell line attempted
