Mouse Necropsy information sheet,...2,...3,...4
Initials,RB,,
Today's Date,43151,,
Mouse ID,17800,,
Disposition,FD,,
Sex,Male,,
Strain,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f,,
BD,43116,,
Sac Date,43151,,
Age at Sac,35,,
RCAS injection?,Yes,,
Injection route,Intracranial,,
Injection Date,43127,,
Virus 1,IDHR132H,,
Virus 2,PDGFA,,
Virus 3,Cre,,
Virus 4,,,
Evidence of tumor?,yes,,
Date Tumor reported,43137,,
Dox Tx?,,,
Duration of Dox Tx,,,
Genotype,Nestin-TVA; ATRX flox/flox; Ink4a f/f; Pten f/f,,
Tissue collected,Na,,
Zinc fixed?,No,,
Formalin fixed?,Na,,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
,,,
Additional comments,Found dead after having chest cavity eaten by fellow mice. Brain was unrecoverable.,,
