Mouse Necropsy information sheet,...2
Initials,YN
Today's Date,42676
Mouse ID,12227
Disposition,"Normal disposition, but weighted down stride by tumor"
Sex,F
Strain,DCT-TVA; Braf; All alleles
BD,42635
Sac Date,42676
Age at Sac,41
RCAS injection?,Yes
Injection route,Ear buds
Injection Date,42597
Virus 1,HA-Akt1
Virus 2,Cre
Virus 3,
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,
Dox Tx?,
Duration of Dox Tx,
Genotype,
Tissue collected,"Tumor, Brain, Lungs, Heart, Liver, L and R Kidneys, Spleen"
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,H&L looked normal upon visual inspection
,Skull intact
,Tumor started to invade posteriorly on the rib cage (partially in rib cage)
,Cell line attempted
,2 cryogenic tubes frozen down with samples of primary tumor
