Mouse Necropsy information sheet,...2
Initials,SA
Today's Date,42908
Mouse ID,15205
Disposition,FD
Sex,Male
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42853
Sac Date,42907
Age at Sac,54
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42855
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,Yes
Date Tumor reported,42877
Dox Tx?,Yes
Duration of Dox Tx,29 days
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,n/a
,
Formalin fixed?,No
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Brain was unsalvageable, not collected"
