Mouse Necropsy information sheet,...2,...3,...4
Initials,KC,,
Today's Date,44368,,
Mouse ID,25915-00 (br),,
Disposition,Sac'd due to tumor size,,
Disposition,,,
Disposition,,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,,
BD,44209,,
Sac Date,44368,,
Age at Sac,159,,
Injection Date,44210,,
Virus 1,RCAS Cre,,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes,,
Date Tumor reported,44348,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,,
Tissue collected,"B,L,T1",,
Zinc fixed?,No,,
Formalin fixed?,"B,L,T1",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Tumor found abve left ear,,
,Skull intact,,
