Mouse Necropsy information sheet,...2,...3,...4,...5,...6,...7,...8,...9,...10
Initials,KS,,,,,,,,
Today's Date,44963,,,,,,,,
Mouse ID,33445-00,,,,,,,,
Disposition,head bulge,,,,,,,,
Sex,Male,,,,,,,,
Strain,All Alleles,,,,,,,,
BD,44943,,,,,,,,
Sac Date,44970,,,,,,,,
Age at Sac,27,,,,,,,,
RCAS injection?,RCAS-Cre + RCAS-myrAKT1 (KS),,,,,,,,
Injection route,SubQ behind ear,,,,,,,,
Injection Date,44945,,,,,,,,
Virus 1,RCAS-Cre,,,,,,,,
Virus 2,RCAS-myrAKT1,,,,,,,,
Virus 3,,,,,,,,,
Virus 4,,,,,,,,,
Evidence of tumor?,No,,,,,,,,
Date Tumor reported,,,,,,,,,
Dox Tx?,No,,,,,,,,
Duration of Dox Tx,,,,,,,,,
Genotype,TVA neg,,,,,,,,
Tissue collected,"Brain, Lung, Liver",,,,,,,,
Zinc fixed ?,No,,,,,,,,
Formalin fixed?,Yes,,,,,,,,
Parafin Block #'s,,,,,,,,,
,,,,,,,,,
Slide #'s,,,,,,,,,
H&E?,,,,,,,,,
IHC?,,,,,,,,,
IHC stain 1,,,,,,,,,
IHC stain 2,,,,,,,,,
IHC stain 3,,,,,,,,,
Additional comments,"small brain, liquid underneath the skull; large lung nodules; spleen was darker than usual and slightly shriveled",,,,,,,,
