Mouse Necropsy information sheet,...2
Initials,DY
Today's Date,42871
Mouse ID,14526
Disposition,"hunched, lethargic"
Sex,Female
Strain,N-TVA; Ink4a f/f; Pten f/f
BD,42804
Sac Date,42870
Age at Sac,66
RCAS injection?,Yes
Injection route,intracranial
Injection Date,42806
Virus 1,TRE3-BRAF
Virus 2,TetOff
Virus 3,Cre
Virus 4,
Evidence of tumor?,yes
Date Tumor reported,42829
Dox Tx?,Yes
Duration of Dox Tx,40
Genotype,N-TVA Tg/+; ink/arf f/f; pten f/f;
Tissue collected,Brain
,
Formalin fixed?,Yes
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"hydrocephlus, tissue also collected for cell line"
