Mouse Necropsy information sheet,...2,...3,...4
Initials,RF,,
Today's Date,44421,,
Mouse ID,25916-01,,
Disposition,Enddate,,
Disposition,,,
Treatment,,,
Sex,Female,`,
Strain,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,,
BD,44209,,
Sac Date,44421,,
Age at Sac,212,,
Injection Date,44210,,
Virus 1,RCAS Cre (1/14/21 GP),,
Virus 2,,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,No,,
Date Tumor reported,,,
Dox Tx?,,,
Drug treatment,,,
Genotype,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,,
Tissue collected,"Brain, Lungs, T1 (tail), T2(brain), T3(neck)",,
Zinc fixed?,No,,
Formalin fixed?,"Brain, Lungs, T1 (tail), T2(brain), T3(neck)",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,Yes,,
Additional comments,Sac'd due to enddate,,
,No tumor previously noted,,
,"Upon brain dissection, found potential tumor underneath brain",,
,"Upon searching for primary tumor, noticed significant melanoma tumors on tail",,
,"Upon searching lymph nodes, came across potential tumor on underside of neck, possibly adipose tissue",,
,Gross lung nodules,,
,Poor mouse,,
