Mouse Necropsy information sheet,...2,...3,...4
Initials,GP,,
Today's Date,42832,,
Mouse ID,14385,,
Disposition,Normal disposition; Sac'd due to eye issue; T1 grew over right eye and caused infection.,,
Sex,Male,,
Strain,All Alleles,,
BD,42795,,
Sac Date,42832,,
Age at Sac,37,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,42796,,
Virus 1,HA-Akt1,,
Virus 2,Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,,,
Dox Tx?,No,,
Duration of Dox Tx,NA,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor",,
Zinc fixed?,"Brain, lungs",Only in zinc fixative for 24 hours.,
Formalin fixed?,"Tumor, organs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Additional comments,Normal disposition; Sac'd due to eye issue; T1 grew over right eye and caused infection.,,
,Skull slightly soft and had tumor tissue growing on top.,,
,Brain appeared normal.,,
,All other organs also appeared normal.,,
,No cryogenics or cell line attempted--tumor too small (less than 5 cubic mm),,
