Mouse Necropsy information sheet,...2,...3
Initials,GP,
Today's Date,43980,
Mouse ID,21609-00,
Disposition,No detectable primary tumor,
Disposition,Experimental endpoint,
Treatment,,
Sex,Female,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,
BD,43758,`
Sac Date,43980,
Age at Sac,222,
Injection Date,43760,
Virus 1,RCAS myr-FLAG-AKT3 + RCAS Cre 10/22/19 CS/GP,
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,No,
Date Tumor reported,,
Dox Tx?,,
Duration of Dox Tx,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,
Tissue collected,"B,L",
Zinc fixed?,No,
Formalin fixed?,"B,L",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,Yes,
Additional comments,Skull intact,
,Multiple lung nodules observed.,
,No evidence of primary tumor.,
,Other organs appeared normal.,
