Mouse Necropsy information sheet,...2
Initials,ND
Today's Date,42961
Mouse ID,15802
Disposition,"Normal disposition, sac'd due to ulcerated tumor and tumor size. T1 - behind right ear. Tumor was heavy and weight down head of mouse and tumor almost considered too large."
Sex,Female
Strain,All Alleles
BD,42902
Sac Date,42961
Age at Sac,59
RCAS injection?,Yes
Injection route,Ear buds
Injection Date,42902
Virus 1,HA-Akt1
Virus 2,Cre
Virus 3,
Virus 4,
Evidence of tumor?,Yes (1)
Date Tumor reported,42942
Dox Tx?,No
Duration of Dox Tx,NA
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f
Tissue collected,"Brain, heart, lungs, kidney, spleen, liver, tumor"
Zinc fixed?,"Brain, lungs"
Formalin fixed?,"Tumor, organs"
Parafin Block #'s,
,
Slide #'s,
H&E?,
IHC?,
IHC stain 1,
IHC stain 2,
IHC stain 3,
Additional comments,"Normal disposition, sac'd due to ulcerated tumor and tumor size. T1 - behind right ear. Tumor was heavy and weight down head of mouse and tumor almost considered too large."
,Brain appeared normal and in tact.
,No lung nodules noted
,Spleen appeared enlarged
,T1 - 3 cryos and 1 cell line attempted.
