Mouse Necropsy information sheet,...2,...3
Initials,GP,
Today's Date,43879,
Mouse ID,22330-00,
Disposition,"Sac - hyperactive, not breathing well",
Disposition,,
Treatment,,
Sex,Female,
Strain,DCT-TVA; Braf CA/CA; Tyr/+,
BD,43835,`
Sac Date,43879,
Age at Sac,44,
Injection Date,43837,
Virus 1,RCAS myr-FLAG-AKT2 + RCAS Cre (1/7/20 GP),
Virus 2,,
Virus 3,,
Virus 4,,
Evidence of tumor?,No,
Date Tumor reported,,
Dox Tx?,,
Duration of Dox Tx,,
Genotype,DCT-TVA; Braf CA/CA; Tyr/+,
Tissue collected,"B,L",
Zinc fixed?,No,
Formalin fixed?,"B,L",
Parafin Block #'s,,
,,
Slide #'s,,
H&E?,,
IHC?,,
IHC stain 1,,
IHC stain 2,,
IHC stain 3,,
Gross Visualization of Lung Nodules?,Yes,
Additional comments,Skull intact.,
,"Sac - hyperactive, not breathing well",
,Small lung nodules observed upon gross observation ex vivo.,
,All other organs appeared normal.,
,No evidence of primary tumor.,
